 1:2 3:2 4:4 5:15 6:16 9:21 29:22 114:1 12:2
1:2 1.0 0.6845261296760264 0.24763913067638518 0.12974685809854114 0.7271140495536322 0.2793341336625352 0.26583816301730523 0.6919786096256685 0.6002363730317942
3:2 0.6845261296760264 1.0 0.394262866123495 0.3121767808877927 0.8067961924713702 0.6454589969658806 0.3363011751849735 0.5885925406995323 0.8165701988479325
4:4 0.24763913067638518 0.394262866123495 1.0 0.5433906925971582 0.5461367275791996 0.6263473297185373 0.653984351728616 0.4843711376347373 0.37090279553230804
5:15 0.12974685809854114 0.3121767808877927 0.5433906925971582 1.0 0.3733715336169076 0.5721240778712997 0.7017131753558662 0.32365425042163565 0.2691986738087972
6:16 0.7271140495536322 0.8067961924713702 0.5461367275791996 0.3733715336169076 1.0 0.7331661657612764 0.4803105960538241 0.65945914404634 0.7140322236291472
9:21 0.2793341336625352 0.6454589969658806 0.6263473297185373 0.5721240778712997 0.7331661657612764 1.0 0.6183208480153592 0.5128982214718188 0.6295251312698464
29:22 0.26583816301730523 0.3363011751849735 0.653984351728616 0.7017131753558662 0.4803105960538241 0.6183208480153592 1.0 0.41610585869735217 0.2942057465311732
114:1 0.6919786096256685 0.5885925406995323 0.4843711376347373 0.32365425042163565 0.65945914404634 0.5128982214718188 0.41610585869735217 1.0 0.5409232574259762
12:2 0.6002363730317942 0.8165701988479325 0.37090279553230804 0.2691986738087972 0.7140322236291472 0.6295251312698464 0.2942057465311732 0.5409232574259762 1.0
