 1:1 1:2 1:3 1:4 1:5 1:6 1:7
1:1 1.0 0.760427807486631 0.813691037226027 0.875638393865261 0.6919786096256685 0.8256911058016454 0.4393403954940433
1:2 0.760427807486631 1.0 0.7303690750140819 0.8256911058016454 0.9657754010695188 0.625901953547183 0.365540434046225
1:3 0.813691037226027 0.7303690750140819 1.0 0.9556988101557221 0.5637251505901915 0.5908992643308739 0.1801385910399862
1:4 0.875638393865261 0.8256911058016454 0.9556988101557221 1.0 0.7257965296744142 0.7813211845102506 0.2698196210092245
1:5 0.6919786096256685 0.9657754010695188 0.5637251505901915 0.7257965296744142 1.0 0.6758492416107986 0.40244041477013415
1:6 0.8256911058016454 0.625901953547183 0.5908992643308739 0.7813211845102506 0.6758492416107986 1.0 0.3954736648887802
1:7 0.4393403954940433 0.365540434046225 0.1801385910399862 0.2698196210092245 0.40244041477013415 0.3954736648887802 1.0
