 1:2 2:0 3:0 4:0 5:0 6:0 7:0 8:0 10:0 11:0 12:0 13:0 14:0
1:2 1.0 0.760427807486631 0.760427807486631 0.760427807486631 0.760427807486631 0.760427807486631 0.760427807486631 0.760427807486631 0.760427807486631 0.760427807486631 0.760427807486631 0.760427807486631 0.760427807486631
2:0 0.760427807486631 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0
3:0 0.760427807486631 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0
4:0 0.760427807486631 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0
5:0 0.760427807486631 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0
6:0 0.760427807486631 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0
7:0 0.760427807486631 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0
8:0 0.760427807486631 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0
10:0 0.760427807486631 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0
11:0 0.760427807486631 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0
12:0 0.760427807486631 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0
13:0 0.760427807486631 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0
14:0 0.760427807486631 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0
