 1:1 1:2 1:3 1:4 1:5 1:6 1:7 2:0 2:1 2:2 2:3 2:4 2:5 2:6 2:7 2:8 2:9 2:10 2:11 2:12 2:13 2:14 2:15 2:16
2:6 0.31374469300944113 0.364837976349401 0.13378387187653873 0.23495868523844293 0.4159312596893609 0.33437921981867663 0.6988246373856041 0.31374469300944113 0.16101687415841284 0.4239337928889787 0.5369931791999822 0.5940475275347229 0.4477353671898275 1.0 0.7673636643143398 0.728795603522479 0.7048704882936304 0.5903165661727396 0.8580414487187976 0.4557599075457466 0.49353045631911174 0.5572074821365824 0.3960859425643068 0.8093094087267431
2:7 0.2895148555914729 0.3441955703068944 0.09924845544113824 0.17598945985978592 0.38325322367505266 0.2443902215866663 0.6739489237089104 0.2895148555914729 0.10200250324681116 0.6619034462109015 0.4840686572305267 0.6257964246394706 0.6447930978458308 0.7673636643143398 1.0 0.8159540498970114 0.7446427460378321 0.7202606545483786 0.6935062782286792 0.6983970890068161 0.4785929003380946 0.5705469577238724 0.6546047176517186 0.7887434339707153
2:8 0.6117888458258738 0.4840556374759741 0.2996370011762671 0.3965170539313227 0.509602279145954 0.5207927221566149 0.6804621999450627 0.6117888458258738 0.4382835991666215 0.6029556878332981 0.5535224036463072 0.6194217489555609 0.652697750324257 0.728795603522479 0.8159540498970114 1.0 0.7356711104622553 0.6859580469623664 0.8241408991591075 0.5353251941876663 0.4753028858937531 0.5666516767490668 0.6069339521653941 0.7796464278620142
2:9 0.45207939443048495 0.3620503590557637 0.3247052738688658 0.42213570148427626 0.38455761789944404 0.5206768014052259 0.6751066429708813 0.45207939443048495 0.40411036631588604 0.6271130896908849 0.5295809105993509 0.70969510354448 0.6082193752823172 0.7048704882936304 0.7446427460378321 0.7356711104622553 1.0 0.5777954533034579 0.7748719023132324 0.5797961995072394 0.5784364215641178 0.5366775538296119 0.46413269016943925 0.7804720154348006
2:10 0.43644282902918813 0.48920224279202573 0.3334439050405768 0.4217645278210409 0.5042763610099794 0.4327640917087942 0.5861897737215063 0.43644282902918813 0.2204829357458394 0.711049721954135 0.6468251668933284 0.837634448578749 0.7638644959325509 0.5903165661727396 0.7202606545483786 0.6859580469623664 0.5777954533034579 1.0 0.6653294922822508 0.6617537957029043 0.40868869455113754 0.5708002359261579 0.6511903829347835 0.6315736755329708
2:11 0.6713976763891603 0.5777266569325672 0.4447584893135295 0.5580754226242025 0.5947577513792205 0.645068390381907 0.6008916377027167 0.6713976763891603 0.484494720001323 0.4796294935383225 0.5667457832033672 0.7484073745114873 0.5402990240892472 0.8580414487187976 0.6935062782286792 0.8241408991591075 0.7748719023132324 0.6653294922822508 1.0 0.43586858588526667 0.5372766253399724 0.5868892366329621 0.4557599075457466 0.7139641130901145
2:12 0.31678070526613195 0.47667002022695565 0.24693725883054288 0.34272111867604627 0.5086478832191204 0.34272111867604627 0.7286987479205133 0.31678070526613195 0.06778653154249593 0.9253034547152195 0.6463151960281838 0.3975217434368584 0.9008066537679728 0.4557599075457466 0.6983970890068161 0.5353251941876663 0.5797961995072394 0.6617537957029043 0.43586858588526667 1.0 0.3900866991925711 0.4838459778549709 0.880485527544351 0.46769470054203455
2:13 0.4258879771891961 0.3819332244816209 0.33840257158086934 0.4270928207723623 0.3965848087174793 0.4841127749406673 0.4747028647861368 0.4258879771891961 0.339778491280428 0.33532768164917964 0.36503497124602147 0.4605701301030731 0.3498671490355067 0.49353045631911174 0.4785929003380946 0.4753028858937531 0.5784364215641178 0.40868869455113754 0.5372766253399724 0.3900866991925711 1.0 0.6298571483454141 0.33532768164917964 0.40360777555400906
2:14 0.4500603835318276 0.30907761278691775 0.4092375809895317 0.4352401270241086 0.2711207129709805 0.4114997564591572 0.5378588175469216 0.4500603835318276 0.38253395135062923 0.4002495523617037 0.43574553922974735 0.5628178889963911 0.42101018283067376 0.5572074821365824 0.5705469577238724 0.5666516767490668 0.5366775538296119 0.5708002359261579 0.5868892366329621 0.4838459778549709 0.6298571483454141 1.0 0.5041117779745509 0.5639533354312142
2:15 0.5086478832191204 0.620570403691697 0.4804936809756869 0.4827263416245588 0.5566146777073675 0.27271850720179003 0.6827285952670753 0.5086478832191204 0.06778653154249593 0.7908496732026143 0.7952858054368408 0.47295658114272915 0.8697711101411693 0.3960859425643068 0.6546047176517186 0.6069339521653941 0.46413269016943925 0.6511903829347835 0.4557599075457466 0.880485527544351 0.33532768164917964 0.5041117779745509 1.0 0.4438251145494586
2:16 0.20304257910619472 0.13491820131958154 0.13378387187653873 0.14796571748073845 0.12640265409625492 0.16039328430326766 0.5917104189824459 0.20304257910619472 0.16101687415841284 0.5074773438629945 0.4708762814146824 0.6786282656041829 0.5039347303073324 0.8093094087267431 0.7887434339707153 0.7796464278620142 0.7804720154348006 0.6315736755329708 0.7139641130901145 0.46769470054203455 0.40360777555400906 0.5639533354312142 0.4438251145494586 1.0
